National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Whittlesea,Melbourne - North East,Major Cities of Australia,Local Road,353
Litchfield,Darwin,Outer Regional Australia,Sub-arterial Road,354
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Collector Road,355
Narrabri,New England and North West,Outer Regional Australia,Local Road,356
Glen Innes Severn,New England and North West,Outer Regional Australia,Sub-arterial Road,357
Greater Dandenong,Melbourne - South East,Major Cities of Australia,Arterial Road,358
Golden Plains,Geelong,Inner Regional Australia,National or State Highway,359
Melton,Melbourne - West,Major Cities of Australia,Sub-arterial Road,360
Central Coast (NSW),Central Coast,Major Cities of Australia,National or State Highway,361
Toowoomba,Darling Downs - Maranoa,Outer Regional Australia,National or State Highway,362
Tenterfield,New England and North West,Outer Regional Australia,Sub-arterial Road,363
Indigo,Hume,Inner Regional Australia,Arterial Road,364
Moyne,Warrnambool and South West,Inner Regional Australia,Sub-arterial Road,365
Campaspe,Shepparton,Inner Regional Australia,Local Road,366
Greater Shepparton,Shepparton,Inner Regional Australia,Local Road,367
Moreton Bay,Moreton Bay - North,Major Cities of Australia,Collector Road,368
Toowoomba,Darling Downs - Maranoa,Outer Regional Australia,Collector Road,369
Moonee Valley,Melbourne - North West,Major Cities of Australia,National or State Highway,370
Onkaparinga,Adelaide - South,Major Cities of Australia,National or State Highway,371
Inner West,Sydney - Inner West,Major Cities of Australia,Collector Road,372
Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,Arterial Road,373
Casey,Melbourne - South East,Major Cities of Australia,National or State Highway,374
Greater Dandenong,Melbourne - South East,Major Cities of Australia,National or State Highway,375
Brisbane,Brisbane Inner City,Major Cities of Australia,Collector Road,376
Brisbane,Brisbane - South,Major Cities of Australia,Collector Road,377
Salisbury,Adelaide - North,Major Cities of Australia,Sub-arterial Road,378
Warrumbungle,Far West and Orana,Outer Regional Australia,Arterial Road,379
Whyalla,South Australia - Outback,Outer Regional Australia,Local Road,380
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,Collector Road,381
Rockhampton,Central Queensland,Outer Regional Australia,National or State Highway,382
Moonee Valley,Melbourne - Inner,Major Cities of Australia,Sub-arterial Road,383
Unincorporated SA,South Australia - Outback,Remote Australia,National or State Highway,384
Port Stephens,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,385
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,National or State Highway,386
Gladstone,Central Queensland,Inner Regional Australia,National or State Highway,387
Noosa,Sunshine Coast,Inner Regional Australia,Sub-arterial Road,388
Mount Isa,Queensland - Outback,Remote Australia,Collector Road,389
Mount Isa,Queensland - Outback,Remote Australia,Local Road,390
Brisbane,Brisbane Inner City,Major Cities of Australia,Pedestrian Thoroughfare,391
Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,Local Road,392
Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,Local Road,393
Maroondah,Melbourne - Outer East,Major Cities of Australia,Arterial Road,394
Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,Collector Road,395
Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,National or State Highway,396
Maribyrnong,Melbourne - West,Major Cities of Australia,National or State Highway,397
Unincorporated SA,South Australia - Outback,Remote Australia,Sub-arterial Road,398
Marion,Adelaide - South,Major Cities of Australia,Collector Road,399
Darebin,Melbourne - North East,Major Cities of Australia,Sub-arterial Road,400
