National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Camden,Sydney - South West,Major Cities of Australia,Local Road,1208
Northern Midlands,Launceston and North East,Outer Regional Australia,Sub-arterial Road,1209
Glenorchy,Hobart,Inner Regional Australia,National or State Highway,1210
Queanbeyan-Palerang,Capital Region,Outer Regional Australia,Arterial Road,1211
Waverley,Sydney - Eastern Suburbs,Major Cities of Australia,Collector Road,1212
Longreach,Queensland - Outback,Very Remote Australia,National or State Highway,1213
Maitland,Newcastle and Lake Macquarie,Major Cities of Australia,National or State Highway,1214
Colac Otway,Warrnambool and South West,Inner Regional Australia,Sub-arterial Road,1215
Colac Otway,Warrnambool and South West,Outer Regional Australia,Arterial Road,1216
Lower Eyre Peninsula,South Australia - Outback,Remote Australia,Local Road,1217
Greater Geelong,Geelong,Major Cities of Australia,Arterial Road,1218
Gympie,Wide Bay,Outer Regional Australia,Sub-arterial Road,1219
Merri-bek,Melbourne - North West,Major Cities of Australia,National or State Highway,1220
Alpine,Hume,Inner Regional Australia,National or State Highway,1221
Northern Grampians,North West,Inner Regional Australia,Arterial Road,1222
Mid-Coast,Mid North Coast,Inner Regional Australia,Local Road,1223
MacDonnell,Northern Territory - Outback,Remote Australia,Arterial Road,1224
Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,Local Road,1225
Hilltops,Capital Region,Inner Regional Australia,Local Road,1226
Whitehorse,Melbourne - Inner East,Major Cities of Australia,Sub-arterial Road,1227
Loddon,Bendigo,Inner Regional Australia,Sub-arterial Road,1228
York,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1229
Toowoomba,Toowoomba,Inner Regional Australia,Access road,1230
Stonnington,Melbourne - Inner South,Major Cities of Australia,National or State Highway,1231
Gold Coast,Gold Coast,Inner Regional Australia,Access road,1232
West Arnhem,Northern Territory - Outback,Remote Australia,Sub-arterial Road,1233
Inverell,New England and North West,Outer Regional Australia,Local Road,1234
Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,Sub-arterial Road,1235
Rockingham,Perth - South West,Major Cities of Australia,Arterial Road,1236
Plantagenet,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1237
Yorke Peninsula,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1238
Kwinana,Perth - South West,Major Cities of Australia,National or State Highway,1239
Dubbo,Far West and Orana,Inner Regional Australia,Local Road,1240
Murray,Mandurah,Inner Regional Australia,Local Road,1241
Dumbleyung,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1242
Port Hedland,Western Australia - Outback (North),Remote Australia,Local Road,1243
Derwent Valley,Hobart,Inner Regional Australia,Arterial Road,1244
Coolamon,Riverina,Inner Regional Australia,Arterial Road,1245
Benalla,Hume,Inner Regional Australia,Sub-arterial Road,1246
Stirling,Perth - North West,Major Cities of Australia,Local Road,1247
Robe,South Australia - South East,Outer Regional Australia,Arterial Road,1248
Cambridge,Perth - Inner,Major Cities of Australia,National or State Highway,1249
Maranoa,Darling Downs - Maranoa,Outer Regional Australia,Local Road,1250
Shellharbour,Illawarra,Major Cities of Australia,Local Road,1251
Wanneroo,Perth - North West,Major Cities of Australia,National or State Highway,1252
Plantagenet,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1253
Somerset,Moreton Bay - North,Inner Regional Australia,National or State Highway,1254
Central Coast (Tas.),West and North West,Outer Regional Australia,Sub-arterial Road,1255
Albury,Murray,Inner Regional Australia,Local Road,1256
Richmond Valley,Richmond - Tweed,Outer Regional Australia,Local Road,1257
Moorabool,Ballarat,Inner Regional Australia,Local Road,1258
Uralla,New England and North West,Inner Regional Australia,Arterial Road,1259
Gosnells,Perth - South East,Major Cities of Australia,National or State Highway,1260
Dandaragan,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1261
The Hills,Sydney - Ryde,Major Cities of Australia,National or State Highway,1262
Serpentine-Jarrahdale,Perth - South East,Major Cities of Australia,Arterial Road,1263
Southern Midlands,South East,Outer Regional Australia,Sub-arterial Road,1264
North Burnett,Wide Bay,Outer Regional Australia,Local Road,1265
Grant,South Australia - South East,Outer Regional Australia,National or State Highway,1266
Mandurah,Mandurah,Major Cities of Australia,Local Road,1267
Wanneroo,Perth - North West,Major Cities of Australia,Local Road,1268
Balranald,Murray,Remote Australia,National or State Highway,1269
South Gippsland,Latrobe - Gippsland,Outer Regional Australia,National or State Highway,1270
Wattle Range,South Australia - South East,Outer Regional Australia,Arterial Road,1271
Bayside (NSW),Sydney - Inner South West,Major Cities of Australia,Local Road,1272
Southern Mallee,South Australia - South East,Outer Regional Australia,Local Road,1273
Colac Otway,Warrnambool and South West,Inner Regional Australia,Local Road,1274
Loddon,Bendigo,Inner Regional Australia,National or State Highway,1275
Woodanilling,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1276
Warrumbungle,Central West,Outer Regional Australia,National or State Highway,1277
Forbes,Central West,Outer Regional Australia,Sub-arterial Road,1278
Dowerin,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1279
Kalgoorlie-Boulder,Western Australia - Outback (South),Outer Regional Australia,National or State Highway,1280
Brimbank,Melbourne - North West,Major Cities of Australia,Arterial Road,1281
Greater Geraldton,Western Australia - Outback (South),Outer Regional Australia,Local Road,1282
Northern Midlands,Launceston and North East,Inner Regional Australia,National or State Highway,1283
Harvey,Bunbury,Inner Regional Australia,Local Road,1284
Murray Bridge,South Australia - South East,Inner Regional Australia,Sub-arterial Road,1285
Cumberland,Sydney - Parramatta,Major Cities of Australia,Busway,1286
Serpentine-Jarrahdale,Perth - South East,Inner Regional Australia,Local Road,1287
Bayswater,Perth - North East,Major Cities of Australia,Local Road,1288
Wangaratta,Hume,Inner Regional Australia,National or State Highway,1289
Swan,Perth - North East,Major Cities of Australia,Local Road,1290
Macedon Ranges,Bendigo,Inner Regional Australia,Arterial Road,1291
Doomadgee,Queensland - Outback,Very Remote Australia,Collector Road,1292
Narromine,Far West and Orana,Outer Regional Australia,Local Road,1293
Croydon,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1294
Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,Local Road,1295
Charles Sturt,Adelaide - West,Major Cities of Australia,Arterial Road,1296
Gosnells,Perth - South East,Major Cities of Australia,Arterial Road,1297
Brisbane,Brisbane - North,Major Cities of Australia,Pedestrian Thoroughfare,1298
Scenic Rim,Logan - Beaudesert,Inner Regional Australia,Local Road,1299
Towong,Hume,Outer Regional Australia,Local Road,1300
West Arnhem,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,1301
Mid-Western,Central West,Inner Regional Australia,Local Road,1302
Queanbeyan-Palerang,Capital Region,Major Cities of Australia,Arterial Road,1303
Albany,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1304
Central Highlands (Tas.),South East,Outer Regional Australia,Access road,1305
Lockhart,Riverina,Outer Regional Australia,Arterial Road,1306
Chittering,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1307
Macedon Ranges,Melbourne - North West,Inner Regional Australia,Local Road,1308
Baw Baw,Latrobe - Gippsland,Outer Regional Australia,Local Road,1309
Walcha,New England and North West,Outer Regional Australia,Access road,1310
Canning,Perth - South East,Major Cities of Australia,Arterial Road,1311
Perenjori,Western Australia - Outback (South),Remote Australia,Local Road,1312
Renmark Paringa,South Australia - South East,Outer Regional Australia,Collector Road,1313
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Collector Road,1314
Mount Magnet,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1315
Inner West,Sydney - Inner West,Major Cities of Australia,Local Road,1316
Donnybrook-Balingup,Bunbury,Inner Regional Australia,Local Road,1317
Sunshine Coast,Sunshine Coast,Inner Regional Australia,Collector Road,1318
Cobar,Far West and Orana,Remote Australia,National or State Highway,1319
Hope Vale,Queensland - Outback,Remote Australia,Local Road,1320
Cleve,South Australia - Outback,Remote Australia,Sub-arterial Road,1321
Murray Bridge,South Australia - South East,Inner Regional Australia,Collector Road,1322
Augusta Margaret River,Bunbury,Outer Regional Australia,Arterial Road,1323
Mitcham,Adelaide - South,Major Cities of Australia,National or State Highway,1324
Moonee Valley,Melbourne - North West,Major Cities of Australia,Collector Road,1325
Vincent,Perth - Inner,Major Cities of Australia,National or State Highway,1326
Scenic Rim,Gold Coast,Inner Regional Australia,Local Road,1327
Brisbane,Brisbane - South,Major Cities of Australia,Busway,1328
Tweed,Richmond - Tweed,Inner Regional Australia,National or State Highway,1329
Wickepin,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1330
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Inner Regional Australia,National or State Highway,1331
Wangaratta,Hume,Outer Regional Australia,Arterial Road,1332
Melton,Melbourne - North West,Major Cities of Australia,Sub-arterial Road,1333
Darwin,Darwin,Outer Regional Australia,Collector Road,1334
Hobsons Bay,Melbourne - West,Major Cities of Australia,Sub-arterial Road,1335
Cockburn,Perth - South West,Major Cities of Australia,Arterial Road,1336
Chittering,Western Australia - Wheat Belt,Inner Regional Australia,National or State Highway,1337
Kalgoorlie-Boulder,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1338
Swan,Perth - North East,Major Cities of Australia,Arterial Road,1339
Victoria Park,Perth - South East,Major Cities of Australia,National or State Highway,1340
Isaac,Mackay - Isaac - Whitsunday,Remote Australia,Local Road,1341
Wyndham,Melbourne - West,Major Cities of Australia,Sub-arterial Road,1342
Armadale,Perth - South East,Major Cities of Australia,Arterial Road,1343
Bunbury,Bunbury,Inner Regional Australia,Arterial Road,1344
Glenorchy,Hobart,Inner Regional Australia,Sub-arterial Road,1345
Warrnambool,Warrnambool and South West,Inner Regional Australia,Sub-arterial Road,1346
West Torrens,Adelaide - West,Major Cities of Australia,Collector Road,1347
Gingin,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1348
Moora,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1349
Corangamite,Warrnambool and South West,Outer Regional Australia,Sub-arterial Road,1350
Perth,Perth - Inner,Major Cities of Australia,Arterial Road,1351
Busselton,Bunbury,Inner Regional Australia,Local Road,1352
Wellington,Latrobe - Gippsland,Outer Regional Australia,Arterial Road,1353
Charters Towers,Townsville,Remote Australia,Local Road,1354
Williams,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1355
Darwin,Darwin,Outer Regional Australia,Sub-arterial Road,1356
Augusta Margaret River,Bunbury,Inner Regional Australia,Local Road,1357
Derwent Valley,South East,Outer Regional Australia,Arterial Road,1358
Stirling,Perth - North West,Major Cities of Australia,National or State Highway,1359
Knox,Melbourne - Outer East,Major Cities of Australia,National or State Highway,1360
South Burnett,Wide Bay,Outer Regional Australia,Collector Road,1361
Charters Towers,Townsville,Remote Australia,Sub-arterial Road,1362
Tatiara,South Australia - South East,Outer Regional Australia,Arterial Road,1363
Moyne,Warrnambool and South West,Inner Regional Australia,Local Road,1364
Quilpie,Queensland - Outback,Very Remote Australia,Sub-arterial Road,1365
Burnie,West and North West,Outer Regional Australia,Local Road,1366
Mid Murray,South Australia - South East,Outer Regional Australia,Sub-arterial Road,1367
Kwinana,Perth - South West,Major Cities of Australia,Arterial Road,1368
George Town,Launceston and North East,Outer Regional Australia,Collector Road,1369
Mount Alexander,Bendigo,Inner Regional Australia,National or State Highway,1370
Rockingham,Perth - South West,Major Cities of Australia,National or State Highway,1371
Adelaide Plains,Barossa - Yorke - Mid North,Inner Regional Australia,National or State Highway,1372
Northern Midlands,Launceston and North East,Outer Regional Australia,National or State Highway,1373
Kojonup,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1374
Mount Marshall,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1375
Kingston (SA),South Australia - South East,Outer Regional Australia,Arterial Road,1376
Karratha,Western Australia - Outback (North),Remote Australia,Local Road,1377
Greater Geraldton,Western Australia - Outback (South),Outer Regional Australia,National or State Highway,1378
Cowra,Central West,Outer Regional Australia,Sub-arterial Road,1379
Murray,Mandurah,Inner Regional Australia,National or State Highway,1380
Dubbo,Far West and Orana,Outer Regional Australia,Sub-arterial Road,1381
Elliston,South Australia - Outback,Very Remote Australia,Sub-arterial Road,1382
Kempsey,Mid North Coast,Inner Regional Australia,Arterial Road,1383
Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,Local Road,1384
Coolgardie,Western Australia - Outback (South),Very Remote Australia,Local Road,1385
Vincent,Perth - Inner,Major Cities of Australia,Arterial Road,1386
Mount Remarkable,Barossa - Yorke - Mid North,Outer Regional Australia,National or State Highway,1387
Narrandera,Riverina,Outer Regional Australia,Sub-arterial Road,1388
Tablelands,Cairns,Remote Australia,National or State Highway,1389
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,Local Road,1390
Warrnambool,Warrnambool and South West,Inner Regional Australia,Arterial Road,1391
Wellington,Latrobe - Gippsland,Inner Regional Australia,Arterial Road,1392
Flinders (Qld),Queensland - Outback,Very Remote Australia,Sub-arterial Road,1393
Gladstone,Central Queensland,Outer Regional Australia,Local Road,1394
Serpentine-Jarrahdale,Perth - South East,Major Cities of Australia,National or State Highway,1395
Loxton Waikerie,South Australia - South East,Outer Regional Australia,Sub-arterial Road,1396
Monash,Melbourne - Inner South,Major Cities of Australia,Arterial Road,1397
Bland,Central West,Outer Regional Australia,Local Road,1398
Kempsey,Mid North Coast,Inner Regional Australia,Sub-arterial Road,1399
Derby-West Kimberley,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1400
Greater Geelong,Geelong,Inner Regional Australia,Collector Road,1401
Mundaring,Perth - North East,Inner Regional Australia,Local Road,1402
Donnybrook-Balingup,Bunbury,Inner Regional Australia,Arterial Road,1403
Light,Adelaide - North,Major Cities of Australia,National or State Highway,1404
Belmont,Perth - South East,Major Cities of Australia,Local Road,1405
Nungarin,Western Australia - Wheat Belt,Remote Australia,Local Road,1406
Bayside (Vic.),Melbourne - Inner South,Major Cities of Australia,Arterial Road,1407
Northam,Western Australia - Wheat Belt,Inner Regional Australia,Local Road,1408
Port Hedland,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1409
Kempsey,Mid North Coast,Inner Regional Australia,National or State Highway,1410
Melville,Perth - South West,Major Cities of Australia,Local Road,1411
Bassendean,Perth - North East,Major Cities of Australia,Local Road,1412
Yilgarn,Western Australia - Wheat Belt,Remote Australia,National or State Highway,1413
Broome,Western Australia - Outback (North),Very Remote Australia,Local Road,1414
Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,Access road,1415
West Coast,West and North West,Remote Australia,National or State Highway,1416
Victoria Daly,Northern Territory - Outback,Very Remote Australia,Local Road,1417
Moorabool,Ballarat,Inner Regional Australia,Arterial Road,1418
Chapman Valley,Western Australia - Outback (South),Remote Australia,Local Road,1419
Mitchell,Melbourne - North East,Inner Regional Australia,Collector Road,1420
Port Pirie,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,1421
Uralla,New England and North West,Outer Regional Australia,Arterial Road,1422
Broomehill-Tambellup,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1423
Kyogle,Richmond - Tweed,Outer Regional Australia,Local Road,1424
Meekatharra,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1425
Esperance,Western Australia - Outback (South),Remote Australia,National or State Highway,1426
Williams,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1427
Sunshine Coast,Moreton Bay - North,Inner Regional Australia,Access road,1428
North Burnett,Wide Bay,Outer Regional Australia,Collector Road,1429
Capel,Bunbury,Inner Regional Australia,National or State Highway,1430
Albany,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1431
Kwinana,Perth - South West,Major Cities of Australia,Local Road,1432
Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Local Road,1433
Launceston,Launceston and North East,Inner Regional Australia,Collector Road,1434
Cardinia,Melbourne - South East,Inner Regional Australia,National or State Highway,1435
Canning,Perth - South East,Major Cities of Australia,National or State Highway,1436
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,1437
Break O'Day,Launceston and North East,Outer Regional Australia,Local Road,1438
MacDonnell,Northern Territory - Outback,Remote Australia,National or State Highway,1439
Kalgoorlie-Boulder,Western Australia - Outback (South),Outer Regional Australia,Arterial Road,1440
Devonport,West and North West,Outer Regional Australia,Local Road,1441
Western Downs,Darling Downs - Maranoa,Inner Regional Australia,Collector Road,1442
Serpentine-Jarrahdale,Perth - South East,Inner Regional Australia,Arterial Road,1443
Mount Barker,Adelaide - Central and Hills,Inner Regional Australia,Sub-arterial Road,1444
Swan Hill,North West,Outer Regional Australia,Sub-arterial Road,1445
Bega Valley,Capital Region,Outer Regional Australia,Sub-arterial Road,1446
Dandaragan,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1447
Cardinia,Melbourne - South East,Inner Regional Australia,Sub-arterial Road,1448
Southern Midlands,South East,Outer Regional Australia,Arterial Road,1449
Donnybrook-Balingup,Bunbury,Inner Regional Australia,National or State Highway,1450
Inner West,Sydney - City and Inner South,Major Cities of Australia,Arterial Road,1451
Bellingen,Coffs Harbour - Grafton,Inner Regional Australia,Sub-arterial Road,1452
Victor Harbor,South Australia - South East,Inner Regional Australia,Sub-arterial Road,1453
Baw Baw,Latrobe - Gippsland,Outer Regional Australia,Collector Road,1454
Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,National or State Highway,1455
Dundas,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1456
Norwood Payneham and St Peters,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1457
Bogan,Far West and Orana,Remote Australia,National or State Highway,1458
Parramatta,Sydney - Ryde,Major Cities of Australia,National or State Highway,1459
Light,Adelaide - North,Inner Regional Australia,National or State Highway,1460
Cockburn,Perth - South West,Major Cities of Australia,Local Road,1461
Federation,Riverina,Outer Regional Australia,National or State Highway,1462
MacDonnell,Northern Territory - Outback,Remote Australia,Access road,1463
Towong,Hume,Inner Regional Australia,Sub-arterial Road,1464
Yarriambiack,North West,Outer Regional Australia,Arterial Road,1465
Lake Grace,Western Australia - Wheat Belt,Very Remote Australia,National or State Highway,1466
Dardanup,Bunbury,Inner Regional Australia,National or State Highway,1467
Kondinin,Western Australia - Wheat Belt,Very Remote Australia,Local Road,1468
Cardinia,Melbourne - South East,Inner Regional Australia,Local Road,1469
Kent,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1470
Port Adelaide Enfield,Adelaide - North,Major Cities of Australia,Collector Road,1471
The Hills,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Local Road,1472
Canada Bay,Sydney - Inner West,Major Cities of Australia,Collector Road,1473
Belmont,Perth - South East,Major Cities of Australia,National or State Highway,1474
Coolgardie,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1475
Wollondilly,Sydney - Outer South West,Inner Regional Australia,Collector Road,1476
Scenic Rim,Logan - Beaudesert,Outer Regional Australia,Local Road,1477
Port Augusta,South Australia - Outback,Outer Regional Australia,Collector Road,1478
Wagin,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1479
Bunbury,Bunbury,Inner Regional Australia,National or State Highway,1480
Manjimup,Bunbury,Outer Regional Australia,Local Road,1481
Fairfield,Sydney - Parramatta,Major Cities of Australia,Arterial Road,1482
Murray,Mandurah,Major Cities of Australia,Local Road,1483
Warren,Far West and Orana,Remote Australia,Arterial Road,1484
Mitchell,Melbourne - North East,Inner Regional Australia,National or State Highway,1485
Denmark,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1486
Singleton,Hunter Valley exc Newcastle,Outer Regional Australia,Arterial Road,1487
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,Local Road,1488
Harvey,Bunbury,Inner Regional Australia,National or State Highway,1489
Wakefield,Barossa - Yorke - Mid North,Inner Regional Australia,Local Road,1490
Weddin,Central West,Outer Regional Australia,Access road,1491
Banana,Central Queensland,Remote Australia,Local Road,1492
Mitcham,Adelaide - South,Major Cities of Australia,Local Road,1493
Boddington,Western Australia - Wheat Belt,Inner Regional Australia,Arterial Road,1494
Bruce Rock,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1495
Cowra,Central West,Outer Regional Australia,Arterial Road,1496
Swan,Perth - North East,Inner Regional Australia,Local Road,1497
East Arnhem,Northern Territory - Outback,Very Remote Australia,Local Road,1498
Mid Murray,South Australia - South East,Inner Regional Australia,Arterial Road,1499
Central Highlands (Tas.),South East,Outer Regional Australia,Sub-arterial Road,1500
Kulin,Western Australia - Wheat Belt,Remote Australia,Local Road,1501
Litchfield,Darwin,Outer Regional Australia,Local Road,1502
Kalgoorlie-Boulder,Western Australia - Outback (South),Outer Regional Australia,Local Road,1503
Augusta Margaret River,Bunbury,Inner Regional Australia,Arterial Road,1504
Cockburn,Perth - South West,Major Cities of Australia,National or State Highway,1505
Bega Valley,Capital Region,Outer Regional Australia,Local Road,1506
Wellington,Latrobe - Gippsland,Outer Regional Australia,Collector Road,1507
Prospect,Adelaide - Central and Hills,Major Cities of Australia,Local Road,1508
Cuballing,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1509
Dungog,Hunter Valley exc Newcastle,Outer Regional Australia,Local Road,1510
Carnarvon,Western Australia - Outback (South),Very Remote Australia,Local Road,1511
Esperance,Western Australia - Outback (South),Remote Australia,Local Road,1512
Hindmarsh,North West,Outer Regional Australia,Local Road,1513
Georges River,Sydney - Inner South West,Major Cities of Australia,Access road,1514
Wyndham-East Kimberley,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1515
Warrnambool,Warrnambool and South West,Inner Regional Australia,Collector Road,1516
Beverley,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1517
Wanneroo,Perth - North West,Major Cities of Australia,Arterial Road,1518
Ravensthorpe,Western Australia - Outback (South),Very Remote Australia,National or State Highway,1519
Dubbo,Far West and Orana,Outer Regional Australia,Local Road,1520
Canning,Perth - South East,Major Cities of Australia,Local Road,1521
Joondalup,Perth - North West,Major Cities of Australia,Local Road,1522
Mount Isa,Queensland - Outback,Very Remote Australia,National or State Highway,1523
Nillumbik,Melbourne - North East,Major Cities of Australia,Sub-arterial Road,1524
Moorabool,Melbourne - West,Major Cities of Australia,Arterial Road,1525
Coober Pedy,South Australia - Outback,Very Remote Australia,Local Road,1526
Narromine,Far West and Orana,Outer Regional Australia,Sub-arterial Road,1527
Moreton Bay,Moreton Bay - North,Inner Regional Australia,Collector Road,1528
Norwood Payneham and St Peters,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,1529
Joondalup,Perth - North West,Major Cities of Australia,National or State Highway,1530
Upper Lachlan,Capital Region,Inner Regional Australia,Sub-arterial Road,1531
Central Highlands (Qld),Central Queensland,Very Remote Australia,Sub-arterial Road,1532
Katherine,Northern Territory - Outback,Remote Australia,National or State Highway,1533
Tea Tree Gully,Adelaide - North,Major Cities of Australia,Arterial Road,1534
Walcha,New England and North West,Outer Regional Australia,Sub-arterial Road,1535
Walcha,New England and North West,Outer Regional Australia,National or State Highway,1536
Wentworth,Murray,Outer Regional Australia,Local Road,1537
Dalwallinu,Western Australia - Wheat Belt,Remote Australia,Local Road,1538
Roper Gulf,Northern Territory - Outback,Very Remote Australia,Arterial Road,1539
Waratah-Wynyard,West and North West,Outer Regional Australia,Sub-arterial Road,1540
Gnowangerup,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1541
Busselton,Bunbury,Inner Regional Australia,National or State Highway,1542
Carrathool,Riverina,Remote Australia,Sub-arterial Road,1543
Junee,Riverina,Outer Regional Australia,Sub-arterial Road,1544
Bayside (NSW),Sydney - Inner South West,Major Cities of Australia,National or State Highway,1545
Indigo,Hume,Inner Regional Australia,Local Road,1546
Noosa,Sunshine Coast,Inner Regional Australia,Local Road,1547
North Sydney,Sydney - North Sydney and Hornsby,Major Cities of Australia,National or State Highway,1548
Loddon,Ballarat,Inner Regional Australia,Arterial Road,1549
Maitland,Hunter Valley exc Newcastle,Inner Regional Australia,Local Road,1550
Hobart,Hobart,Inner Regional Australia,Arterial Road,1551
Goulburn Mulwaree,Capital Region,Outer Regional Australia,Sub-arterial Road,1552
Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1553
Goyder,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1554
Wongan-Ballidu,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1555
Buloke,North West,Outer Regional Australia,Sub-arterial Road,1556
Ceduna,South Australia - Outback,Very Remote Australia,Local Road,1557
Victoria Daly,Northern Territory - Outback,Very Remote Australia,Sub-arterial Road,1558
Copper Coast,Barossa - Yorke - Mid North,Outer Regional Australia,Access road,1559
Renmark Paringa,South Australia - South East,Outer Regional Australia,Access road,1560
Collie,Bunbury,Inner Regional Australia,Local Road,1561
Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,1562
Cook,Queensland - Outback,Very Remote Australia,Collector Road,1563
Armadale,Perth - South East,Inner Regional Australia,National or State Highway,1564
South Gippsland,Latrobe - Gippsland,Inner Regional Australia,Access road,1565
Swan Hill,North West,Outer Regional Australia,Local Road,1566
Cootamundra-Gundagai,Riverina,Outer Regional Australia,National or State Highway,1567
Indigo,Hume,Inner Regional Australia,Access road,1568
Narrabri,New England and North West,Outer Regional Australia,Arterial Road,1569
Wanneroo,Perth - North West,Inner Regional Australia,National or State Highway,1570
Williams,Western Australia - Wheat Belt,Outer Regional Australia,National or State Highway,1571
Golden Plains,Ballarat,Inner Regional Australia,Sub-arterial Road,1572
East Pilbara,Western Australia - Outback (North),Very Remote Australia,National or State Highway,1573
Greater Hume,Murray,Outer Regional Australia,Sub-arterial Road,1574
Menzies,Western Australia - Outback (South),Very Remote Australia,Local Road,1575
Bass Coast,Latrobe - Gippsland,Inner Regional Australia,Local Road,1576
Dandaragan,Western Australia - Wheat Belt,Outer Regional Australia,Local Road,1577
Busselton,Bunbury,Inner Regional Australia,Arterial Road,1578
Plantagenet,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1579
Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,Collector Road,1580
Mareeba,Queensland - Outback,Outer Regional Australia,Local Road,1581
Halls Creek,Western Australia - Outback (North),Very Remote Australia,Local Road,1582
Northam,Western Australia - Wheat Belt,Inner Regional Australia,National or State Highway,1583
North Burnett,Wide Bay,Outer Regional Australia,Sub-arterial Road,1584
Weddin,Central West,Outer Regional Australia,Sub-arterial Road,1585
Greater Shepparton,Shepparton,Inner Regional Australia,Collector Road,1586
Irwin,Western Australia - Outback (South),Outer Regional Australia,National or State Highway,1587
Light,Adelaide - North,Major Cities of Australia,Collector Road,1588
Walgett,Far West and Orana,Very Remote Australia,Access road,1589
Armadale,Perth - South East,Major Cities of Australia,National or State Highway,1590
Macedon Ranges,Bendigo,Inner Regional Australia,National or State Highway,1591
Eurobodalla,Capital Region,Inner Regional Australia,Local Road,1592
Yarrabah,Cairns,Outer Regional Australia,Local Road,1593
Wanneroo,Perth - North West,Inner Regional Australia,Arterial Road,1594
Pingelly,Western Australia - Wheat Belt,Outer Regional Australia,Arterial Road,1595
Belmont,Perth - South East,Major Cities of Australia,Arterial Road,1596
Port Pirie,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,1597
Toowoomba,Darling Downs - Maranoa,Outer Regional Australia,Local Road,1598
Narrabri,New England and North West,Remote Australia,Arterial Road,1599
Broome,Western Australia - Outback (North),Remote Australia,Local Road,1600
Bayside (NSW),Sydney - City and Inner South,Major Cities of Australia,Collector Road,1601
Cook,Queensland - Outback,Remote Australia,Collector Road,1602
Wagga Wagga,Riverina,Outer Regional Australia,Sub-arterial Road,1603
Kondinin,Western Australia - Wheat Belt,Remote Australia,Arterial Road,1604
